Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TC Q1,20,2144,2026,2454,2612,2753,1895,2753,"0,000%",",95767","0,47","0,00"
TC Q2,20,1233160,1246106,1254050,1255065,1256083,1089262,1256083,"0,000%",",01587","143,70","0,00"
TC Q3,20,341136,342888,367466,368906,373027,227452,373027,"0,000%",",05269","1698,56","0,00"
TC Q4,20,252278,305552,315553,316898,318179,125314,318179,"40,000%",",06120","0,01","0,00"
TC Q5,20,591592,614733,621748,623303,624828,480842,624828,"0,000%",",03160","0,01","0,00"
TC Q6,20,600,581,655,662,714,552,714,"0,000%","1,01885","0,01","0,00"
TC Q7,20,622519,619451,639209,640240,644442,601213,644442,"0,000%",",03103","0,01","0,00"
TC Q8,20,159016,182196,187335,188349,191353,44616,191353,"0,000%",",09982","0,00","0,00"
TC Q9,20,1386968,1396564,1433249,1439026,1440771,1135206,1440771,"0,000%",",01382","0,10","0,00"
TC Q11,20,55013,55170,62016,62451,63400,46051,63400,"0,000%",",30688","0,01","0,00"
TC Q12,20,268474,266757,275387,276196,277014,260009,277014,"0,000%",",07167","0,01","0,00"
Total,220,446627,298567,1253102,1395048,1433249,552,1440771,"3,636%",",03748","140,72","0,00"
