Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Q1,20,6818,6467,7685,8133,9744,5512,9744,"0,000%","1,19296","3,85","1,18"
Q2,20,24670,20126,26545,56053,97074,10830,97074,"0,000%",",20187","76,74","0,24"
HTTP Request Q3,20,27539,25008,35584,38711,47761,19572,47761,"0,000%",",40599","64,14","0,36"
HTTP Request Q4,20,16593,15909,20031,24325,24685,11630,24685,"0,000%",",65159","0,91","0,54"
HTTP Request Q5,20,61643,59149,73203,87166,102834,46398,102834,"0,000%",",18209","0,26","0,18"
TC Q6,20,2806,2608,3535,3601,5009,2041,5009,"0,000%","1,52451","1,41","1,12"
HTTP Request Q7,20,39300,36306,55601,73635,85227,22418,85227,"0,000%",",22927","0,40","0,28"
HTTP Request Q8,20,176513,170967,201072,201310,202911,139980,202911,"0,000%",",09508","0,09","0,12"
HTTP Request Q9,20,189847,200922,201044,201056,201516,119116,201516,"0,000%",",09500","0,82","0,10"
HTTP Request 10,20,165245,164010,200826,201160,201970,105843,201970,"0,000%",",09509","27,65","0,10"
HTTP Request Q11,20,14509,12078,21530,23943,32637,7432,32637,"0,000%",",50865","0,47","0,50"
HTTP Request Q12,20,9448,8182,12435,13074,15759,6562,15759,"0,000%",",97182","1,23","1,01"
Total,240,61244,23997,198590,200985,201516,2041,202911,"0,000%",",21211","15,01","0,22"
