Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TC Q1,20,46308,47296,49741,50213,53629,38392,53629,"0,000%",",32442","1,05","0,32"
TC Q2,20,102887,103882,115869,123877,124197,80975,124197,"0,000%",",15049","57,25","0,18"
TC Q3,20,177020,176794,188234,189260,202176,151937,202176,"0,000%",",09561","15,20","0,09"
TC Q4,20,89733,86849,102393,103808,104450,77662,104450,"0,000%",",18024","0,25","0,15"
TC Q5,20,474120,474044,506649,511697,517568,403133,517568,"0,000%",",03829","0,64","0,35"
TC Q6,20,5389,5217,6323,6797,8189,4175,8189,"0,000%","1,23472","1,14","0,91"
TC Q7,20,291057,294164,320230,336750,338321,237897,338321,"0,000%",",05765","0,42","0,24"
TC Q8,20,472904,473880,487481,500594,515937,442496,515937,"0,000%",",03875","0,65","0,37"
TC Q9,20,832309,829899,871206,874860,876157,751176,876157,"0,000%",",02261","1,52","0,46"
TC Q10,20,122784,121724,134167,136046,146371,106870,146371,"0,000%",",12997","50,37","0,13"
TC Q11,20,95761,88309,125611,134944,135118,68860,135118,"0,000%",",14039","0,13","0,14"
TC Q12,20,53371,49329,70263,72615,83227,39576,83227,"0,000%",",23464","0,30","0,24"
Total,240,230304,115869,504672,826455,871206,4175,876157,"0,000%",",07541","6,55","0,32"
