Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TC Q1,3,13295,12833,14277,14277,14277,12776,14277,"100,000%",",07521","0,00","0,00"
TC Q2,3,142572,138258,156658,156658,156658,132801,156658,"0,000%",",00701","6522,68","0,00"
TC Q4,3,141705,141882,142450,142450,142450,140784,142450,"0,000%",",00706","0,00","0,00"
TC Q5,3,688603,685138,699295,699295,699295,681376,699295,"0,000%",",00145","0,00","0,00"
TC Q6,3,1354,126,3814,3814,3814,123,3814,"0,000%",",73801","0,01","0,00"
TC Q7,3,1395262,1377428,1471615,1471615,1471615,1336743,1471615,"0,000%",",00072","0,00","0,00"
TC Q8,3,186382,189862,191404,191404,191404,177882,191404,"0,000%",",00537","0,00","0,00"
TC Q9,3,4085833,3700957,4863520,4863520,4863520,3693022,4863520,"0,000%",",00024","0,00","0,00"
TC Q11,3,19828,18479,22600,22600,22600,18406,22600,"0,000%",",05043","0,00","0,00"
TC Q12,3,122395,119364,130805,130805,130805,117017,130805,"0,000%",",00817","0,00","0,00"
Total,30,679723,140784,1471615,3693022,4863520,123,4863520,"10,000%",",00123","114,56","0,00"
