Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
TC Q1,3,5421,4995,6378,6378,6378,4890,6378,"0,000%",",14236","0,00","0,00"
TC Q2,3,19951,19678,20657,20657,20657,19520,20657,"0,000%",",04721","0,00","0,00"
TC Q3,3,311089,310973,312952,312952,312952,309343,312952,"0,000%",",00320","0,00","0,00"
TC Q4,3,39918,39689,40744,40744,40744,39323,40744,"0,000%",",02415","0,00","0,00"
TC Q5,3,161028,161674,162380,162380,162380,159031,162380,"0,000%",",00614","0,00","0,00"
TC Q6,3,559,392,908,908,908,379,908,"0,000%",",54220","0,00","0,00"
TC Q7,3,52681,52558,52944,52944,52944,52542,52944,"0,000%",",01844","0,00","0,00"
TC Q8,3,65720,62839,72746,72746,72746,61577,72746,"0,000%",",01485","0,00","0,00"
TC Q9,3,877833,875128,883660,883660,883660,874711,883660,"0,000%",",00113","0,00","0,00"
TC Q10,3,442733,426613,479408,479408,479408,422179,479408,"0,000%",",00225","0,00","0,00"
TC Q11,3,11211,10587,12955,12955,12955,10093,12955,"0,000%",",07963","0,00","0,00"
TC Q12,3,44960,43879,47550,47550,47550,43451,47550,"0,000%",",02155","0,00","0,00"
Total,36,169425,47550,426613,874711,883660,379,883660,"0,000%",",00582","0,00","0,00"
