Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
TC Q1,5,8040,6990,8790,10639,10639,6830,10639,"0,000%",",12361","0,40","0,12"
TC Q2,5,44330,44366,48148,50495,50495,37877,50495,"0,000%",",02255","8,58","0,03"
TC Q3,5,116900,117890,121096,125811,125811,105851,125811,"0,000%",",00855","1,36","0,01"
TC Q4,5,34947,35696,37126,40450,40450,29201,40450,"0,000%",",02861","0,04","0,02"
TC Q5,5,121856,137926,139011,143731,143731,93059,143731,"0,000%",",00821","0,01","0,01"
TC Q6,5,3084,2635,3166,4644,4644,2404,4644,"0,000%",",32337","0,30","0,24"
TC Q7,5,107230,105431,111342,128311,128311,95417,128311,"0,000%",",00933","0,02","0,01"
TC Q8,5,99842,94690,111045,121691,121691,85170,121691,"0,000%",",01001","0,01","0,01"
TC Q9,5,153462,176509,178351,210515,210515,85384,210515,"0,000%",",00652","0,17","0,01"
TC Q10,2,2403271,135013,4671529,4671529,4671529,135013,4671529,"50,000%",",00042","2,70","1,69"
Total,47,175638,93059,139011,178351,4671529,2404,4671529,"2,128%",",00569","1,92","0,99"
